word,current_avatar,upstream_sigml_filename_match
STORY,fingerspelling,no
STREAM,fingerspelling,no
STRUCTURED,fingerspelling,no
SUBJECT,fingerspelling,no
SUBSTANCES,fingerspelling,no
SUCCESSFULLY,fingerspelling,no
SUGGESTED,fingerspelling,no
SUMMARIES,fingerspelling,no
SUMMARY,fingerspelling,no
SUN,fingerspelling,no
SUPPORT,fingerspelling,no
SUPPORTED,fingerspelling,no
SURGERIES,fingerspelling,no
SYMPTOM,fingerspelling,no
SYMPTOMS,fingerspelling,no
SYNCED,fingerspelling,no
SYSTEM,fingerspelling,no
TAKE,fingerspelling,yes_unreviewed
TAKING,fingerspelling,no
TAP,fingerspelling,yes_unreviewed
TEAM,fingerspelling,no
TELECONSULT,fingerspelling,no
TELECONSULTATION,fingerspelling,no
TELECONSULTATIONS,fingerspelling,no
TEMPORARY,fingerspelling,no
TERMS,fingerspelling,no
TERRITORY,fingerspelling,no
TEST,fingerspelling,no
TESTS,fingerspelling,no
TEXT,fingerspelling,no
THAT,fingerspelling,yes_unreviewed
THE,fingerspelling,no
THEIR,fingerspelling,yes_unreviewed
THINGS,fingerspelling,no
THIS,fingerspelling,yes_unreviewed
THROUGH,fingerspelling,no
THU,fingerspelling,no
TIME,word_animation,yes_unreviewed
TIMELINE,fingerspelling,no
TIPS,fingerspelling,no
TITLE,fingerspelling,no
TO,fingerspelling,no
TODAY,fingerspelling,yes_unreviewed
TOKEN,fingerspelling,no
TOMORROW,fingerspelling,yes_unreviewed
TOP,fingerspelling,no
TOTAL,fingerspelling,no
TOUCH,fingerspelling,yes_unreviewed
TRACK,fingerspelling,yes_unreviewed
TRANSCRIBING,fingerspelling,no
TRANSCRIPT,fingerspelling,no
TRANSCRIPTS,fingerspelling,no
TRY,fingerspelling,yes_unreviewed
TUE,fingerspelling,no
TYPE,fingerspelling,no
UNABLE,fingerspelling,no
UNDERSTAND,fingerspelling,yes_unreviewed
UNDERSTANDS,fingerspelling,no
UNION,fingerspelling,no
UNLINK,fingerspelling,no
UNLINKING,fingerspelling,no
UNMUTE,fingerspelling,no
UP,fingerspelling,yes_unreviewed
UPCOMING,fingerspelling,no
UPDATE,fingerspelling,no
UPDATED,fingerspelling,no
UPDATES,fingerspelling,no
UPLOAD,fingerspelling,no
UPLOADED,fingerspelling,no
UPLOADING,fingerspelling,no
USE,fingerspelling,no
USED,fingerspelling,no
USING,fingerspelling,no
UT,fingerspelling,no
VALID,fingerspelling,no
VALUES,fingerspelling,no
VAULT,fingerspelling,no
VERIFICATION,fingerspelling,no
VERIFIED,fingerspelling,no
VERIFY,fingerspelling,no
VERIFYING,fingerspelling,no
VIA,fingerspelling,no
VIDEO,fingerspelling,yes_unreviewed
VIEW,fingerspelling,no
VISIT,fingerspelling,yes_unreviewed
VISITS,fingerspelling,no
VISUAL,fingerspelling,no
VITALS,fingerspelling,no
VOICE,fingerspelling,no
VOICEOVER,fingerspelling,no
WAIT,fingerspelling,yes_unreviewed
WAITING,fingerspelling,no
WALK,fingerspelling,no
